parent_1,parent_2,parent_3,leaf
Local Services,-,-,3D Printing
Italian,Restaurants,-,Abruzzese
Bars,Nightlife,-,Absinthe Bars
Food,-,-,Acai Bowls
Fashion,Shopping,-,Accessories
Professional Services,-,-,Accountants
Beauty & Spas,-,-,Acne Treatment
Health & Medical,-,-,Acupuncture
Doctors,Health & Medical,-,Addiction Medicine
Local Services,-,-,Adoption Services
Shopping,-,-,Adult
Education,-,-,Adult Education
Professional Services,-,-,Advertising
Fitness & Instruction,Active Life,-,Aerial Fitness
Tours,Hotels & Travel,-,Aerial Tours
Medical Spas,Beauty & Spas,-,Aestheticians
Restaurants,-,-,Afghan
Restaurants,-,-,African
Religious Organizations,-,-,Afro-Brazilian
Hotels,Event Planning & Services,-,Agriturismi
Automotive,-,-,Aircraft Dealers
Automotive,-,-,Aircraft Repairs
Local Services,-,-,Air Duct Cleaning
Transportation,Hotels & Travel,-,Airlines
Transportation,Hotels & Travel,-,Airport Shuttles
Bars,Nightlife,-,Airport Lounges
Hotels & Travel,-,-,Airports
Airports,Hotels & Travel,-,Airport Terminals
Active Life,-,-,Airsoft
Portuguese,Restaurants,-,Alentejo
Portuguese,Restaurants,-,Algarve
Doctors,Health & Medical,-,Allergists
French,Restaurants,-,Alsatian
Italian,Restaurants,-,Altoatesine
Active Life,-,-,Amateur Sports Teams
Active Life,-,-,Amusement Parks
Restaurants,-,-,Andalusian
Doctors,Health & Medical,-,Anesthesiologists
Health & Medical,-,-,Animal Assisted Therapy
Pet Services,Pets,-,Holistic Animal Care
Pet Services,Pets,-,Animal Physical Therapy
Pets,-,-,Animal Shelters
Shopping,-,-,Antiques
Real Estate Agents,Real Estate,Home Services,Apartment Agents
Real Estate,Home Services,-,Apartments
Home & Garden,Shopping,-,Appliances
Local Services,-,-,Appraisal Services
Italian,Restaurants,-,Apulian
Pet Services,Pets,-,Aquarium Services
Restaurants,-,-,Arabian
Arabian,Restaurants,-,Arab Pizza
Arts & Entertainment,-,-,Arcades
Active Life,-,-,Archery
Professional Services,-,-,Architects
Tours,Hotels & Travel,-,Architectural Tours
Restaurants,-,-,Argentine
Restaurants,-,-,Armenian
Spanish,Restaurants,-,Arroceria / Paella
Education,-,-,Art Classes
Professional Services,-,-,Art Consultants
Home Services,-,-,Artificial Turf
Local Services,-,-,Art Installation
Museums,Arts & Entertainment,-,Art Museums
Local Services,-,-,Art Restoration
Shopping,-,-,Arts & Crafts
Specialty Schools,Education,-,Art Schools
Real Estate,Home Services,-,Art Space Rentals
Arts & Crafts,Shopping,-,Art Supplies
Tours,Hotels & Travel,-,Art Tours
Restaurants,-,-,Asian Fusion
Health & Medical,-,-,Assisted Living Facilities
Supernatural Readings,Arts & Entertainment,-,Astrologers
Restaurants,-,-,Asturian
Arts & Crafts,Shopping,-,Ateliers
Farms,Arts & Entertainment,-,Attraction Farms
Active Life,-,-,ATV Rentals/Tours
Shopping,-,-,Auction Houses
Doctors,Health & Medical,-,Audiologist
Party Equipment Rentals,Event Planning & Services,-,Audio/Visual Equipment Rental
Restaurants,-,-,Australian
Restaurants,-,-,Austrian
Public Services & Government,-,-,Authorized Postal Representative
Automotive,-,-,Auto Detailing
Automotive,-,-,Auto Customization
Automotive,-,-,Car Inspectors
Automotive,-,-,Auto Electric Services
Automotive,-,-,Auto Glass Services
Insurance,Financial Services,-,Auto Insurance
Automotive,-,-,Auto Loan Providers
Automotive,-,-,Auto Parts & Supplies
Automotive,-,-,Auto Repair
Automotive,-,-,Auto Security
Automotive,-,-,Auto Upholstery
French,Restaurants,-,Auvergnat
Automotive,-,-,Aviation Services
Active Life,-,-,Axe Throwing
Health & Medical,-,-,Ayurveda
Portuguese,Restaurants,-,Azores
Shopping,-,-,Baby Gear & Furniture
Plumbing,Home Services,-,Backflow Services
Food,-,-,Backshop
German,Restaurants,-,Baden
Active Life,-,-,Badminton
Food,-,-,Bagels
Restaurants,-,-,Baguettes
Local Services,-,-,Bail Bondsmen
Food,-,-,Bakeries
Event Planning & Services,-,-,Balloon Services
Restaurants,-,-,Bangladeshi
Lawyers,Professional Services,-,Bankruptcy Law
Financial Services,-,-,Banks & Credit Unions
Beauty & Spas,-,-,Barbers
Nightlife,-,-,Bar Crawl
Fitness & Instruction,Active Life,-,Barre Classes
Nightlife,-,-,Bars
Event Planning & Services,-,-,Bartenders
Specialty Schools,Education,-,Bartending Schools
Active Life,-,-,Baseball Fields
Active Life,-,-,Basketball Courts
Restaurants,-,-,Basque
Active Life,-,-,Bathing Area
Shopping,-,-,Battery Stores
Active Life,-,-,Batting Cages
Restaurants,-,-,Bavarian
Restaurants,-,-,Barbeque
Bars,Nightlife,-,Beach Bars
Active Life,-,-,Beach Equipment Rentals
Active Life,-,-,Beaches
Active Life,-,-,Beach Volleyball
Hotels & Travel,-,-,Bed & Breakfast
Food,-,-,"Beer, Wine & Spirits"
Bars,Nightlife,-,Beer Bar
Restaurants,-,-,Beer Garden
Nightlife,-,-,Beer Gardens
Restaurants,-,-,Beer Hall
Tours,Hotels & Travel,-,Beer Tours
Health & Medical,-,-,Behavior Analysts
Portuguese,Restaurants,-,Beira
Restaurants,-,-,Beisl
Restaurants,-,-,Belgian
Food,-,-,Bento
French,Restaurants,-,Berrichon
Shopping,-,-,Bespoke Clothing
Arts & Entertainment,-,-,Betting Centers
Food,-,-,Beverage Store
Active Life,-,-,Bicycle Paths
Local Services,-,-,Bike Repair/Maintenance
Bicycles,-,-,Bike Associations
Active Life,-,-,Bike Parking
Active Life,-,-,Bike Rentals
Bicycles,-,-,Bike Repair
Sporting Goods,Shopping,-,Bikes
Transportation,Hotels & Travel,-,Bike Sharing
Bicycles,-,-,Bike Shop
Tours,Hotels & Travel,-,Bike tours
Professional Services,-,-,Billing Services
Arts & Entertainment,-,-,Bingo Halls
Local Services,-,-,Biohazard Cleanup
Pet Stores,Pets,-,Bird Shops
Restaurants,-,-,Bistros
Restaurants,-,-,Black Sea
Home Services,-,-,Shades & Blinds
Health & Medical,-,-,Blood & Plasma Donation Centers
Japanese,Restaurants,-,Blowfish
Hair Salons,Beauty & Spas,-,Blow Dry/Out Services
Event Planning & Services,-,-,Boat Charters
Automotive,-,-,Boat Dealers
Active Life,-,-,Boating
Automotive,-,-,Boat Parts & Supplies
Professional Services,-,-,Boat Repair
Tours,Hotels & Travel,-,Boat Tours
Active Life,-,-,Bobsledding
Active Life,-,-,Bocce Ball
Health & Medical,-,-,Body Contouring
Automotive,-,-,Body Shops
Local Services,-,-,Bookbinding
Professional Services,-,-,Bookkeepers
"Books, Mags, Music & Video",Shopping,-,Bookstores
